epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,52335.8,0.58629,0.34349,0.84594,0.99829,0.99855,0.99463,0.94813,0.32283,0.63042,0.76528,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,52812.7,0.58386,0.3422,0.84507,0.99828,0.99855,0.99464,0.94829,0.32237,0.63289,0.76521,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,53249.2,0.39855,0.24269,0.80164,0.99826,0.99856,0.99464,0.94854,0.32097,0.64992,0.76497,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,53649.1,0.38158,0.23501,0.79826,0.99824,0.99856,0.99464,0.94965,0.31927,0.65871,0.76467,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,54048.9,0.37287,0.23072,0.79652,0.99825,0.99856,0.99464,0.9505,0.31731,0.6795,0.76434,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,54449.7,0.36673,0.2285,0.79502,0.99825,0.99856,0.99465,0.95104,0.31627,0.69623,0.76416,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,54849.9,0.36149,0.22568,0.79439,0.99825,0.99857,0.99465,0.95182,0.31458,0.72115,0.76388,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,55249.5,0.35658,0.22374,0.79359,0.99828,0.99853,0.99465,0.95217,0.31248,0.74532,0.76351,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,55648.7,0.35294,0.22181,0.79341,0.99825,0.99857,0.99466,0.95275,0.31129,0.7757,0.76329,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,56048.3,0.34951,0.22074,0.79222,0.9983,0.99853,0.99466,0.95363,0.30939,0.80484,0.76302,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,56447.8,0.34581,0.21877,0.79165,0.9983,0.99854,0.99466,0.95431,0.30779,0.82677,0.76274,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,56847,0.34206,0.21739,0.79114,0.99831,0.99853,0.99466,0.95504,0.30619,0.84753,0.76245,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
